match_id,tournament,year,draw,round,player1,player2,result,match_played,result_source,public_video_count,verified_official_full_video_count,candidate_full_video_count,coverage_status
australian-open-2000-men-qf-andre-agassi-hicham-arazi,Australian Open,2000,men,QF,Andre Agassi,Hicham Arazi,6-4 6-4 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,1,public_full_match_candidate
australian-open-2000-men-qf-chris-woodruff-pete-sampras,Australian Open,2000,men,QF,Chris Woodruff,Pete Sampras,7-5 6-3 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,0,candidate_only
australian-open-2000-men-qf-magnus-norman-nicolas-kiefer,Australian Open,2000,men,QF,Magnus Norman,Nicolas Kiefer,3-6 6-3 6-1 7-6(4),True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2000-men-qf-yevgeny-kafelnikov-younes-el-aynaoui,Australian Open,2000,men,QF,Yevgeny Kafelnikov,Younes El Aynaoui,6-0 6-3 7-6(4),True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2000-men-sf-andre-agassi-pete-sampras,Australian Open,2000,men,SF,Andre Agassi,Pete Sampras,6-4 3-6 6-7(0) 7-6(5) 6-1,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),5,0,0,candidate_only
australian-open-2000-men-sf-magnus-norman-yevgeny-kafelnikov,Australian Open,2000,men,SF,Magnus Norman,Yevgeny Kafelnikov,6-1 6-2 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,1,public_full_match_candidate
australian-open-2000-men-f-andre-agassi-yevgeny-kafelnikov,Australian Open,2000,men,F,Andre Agassi,Yevgeny Kafelnikov,3-6 6-3 6-2 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2000-women-qf-ai-sugiyama-jennifer-capriati,Australian Open,2000,women,QF,Ai Sugiyama,Jennifer Capriati,6-0 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,0,candidate_only
australian-open-2000-women-qf-arantxa-sanchez-vicario-martina-hingis,Australian Open,2000,women,QF,Arantxa Sanchez Vicario,Martina Hingis,6-1 6-1,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2000-women-qf-conchita-martinez-elena-likhovtseva,Australian Open,2000,women,QF,Conchita Martinez,Elena Likhovtseva,6-3 4-6 9-7,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2000-women-qf-julie-halard-decugis-lindsay-davenport,Australian Open,2000,women,QF,Julie Halard Decugis,Lindsay Davenport,6-1 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
