tournament,platform,video_id,watch_url,title,channel,channel_id,duration_seconds,detected_year,detected_round,best_match_id,match_score,minimum_player_score,match_status,source_collections,research_confidence,last_checked_utc
Australian Open,youtube,Eqg-JZBpLgI,https://www.youtube.com/watch?v=Eqg-JZBpLgI,2000 Aussie Dubs Final Raymond/Stubbs,Jay Trepanier,UC_H2WADzjGsG13k__DzhQPg,1675,2000,F,australian-open-2000-men-f-andre-agassi-yevgeny-kafelnikov,0.000,0.000,unmatched_target_round_candidate,"""Ai Sugiyama"" ""Jennifer Capriati"" 2000 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,vv0DMUOstfU,https://www.youtube.com/watch?v=vv0DMUOstfU,2000 Australian Open Agassi Sampras Semifinal,Andre Agassi,UCvPZjawnPG0NiLl7-BEPHlQ,11555,2000,SF,australian-open-2000-men-sf-andre-agassi-pete-sampras,0.500,0.500,unmatched_target_round_candidate,"""Andre Agassi"" ""Pete Sampras"" 2000 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,M6vFmjhceGA,https://www.youtube.com/watch?v=M6vFmjhceGA,2000 Tokyo Final,Casey Schnabel,UCtiuMMVVLsZIfddO3JGlwGg,591,2000,F,australian-open-2000-men-f-andre-agassi-yevgeny-kafelnikov,0.000,0.000,unmatched_target_round_candidate,"""Julie Halard Decugis"" ""Lindsay Davenport"" 2000 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,p_0HDlVkwKY,https://www.youtube.com/watch?v=p_0HDlVkwKY,Agassi v Kafelnikov: 2000 Australian Open Men's Final Highlights,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,323,2000,F,australian-open-2000-men-f-andre-agassi-yevgeny-kafelnikov,0.583,0.500,unmatched_target_round_candidate,"""Magnus Norman"" ""Yevgeny Kafelnikov"" 2000 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,UKmbVdTs8ts,https://www.youtube.com/watch?v=UKmbVdTs8ts,Australian Open 2000 Final Agassi vs Kafelnikov,aryedan kayte,UC96QxzUW71aYnzqdkR511qg,9662,2000,F,australian-open-2000-men-f-andre-agassi-yevgeny-kafelnikov,0.607,0.500,unmatched_target_round_candidate,"""Magnus Norman"" ""Yevgeny Kafelnikov"" 2000 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,rmZYOIBkkOs,https://www.youtube.com/watch?v=rmZYOIBkkOs,Hingis v Davenport: 2000 Australian Open Women's Final Highlights,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,311,2000,F,australian-open-2000-women-f-lindsay-davenport-martina-hingis,0.550,0.500,unmatched_target_round_candidate,"""Jennifer Capriati"" ""Lindsay Davenport"" 2000 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,mMo8_QSiEio,https://www.youtube.com/watch?v=mMo8_QSiEio,Juan Balcells vs Markus Hantchk . Final ATP 350. Bucarest  2000.,joan balcells,UC-uH6Y1iVOHC0PT7Uw6llWA,8348,2000,F,australian-open-2000-men-f-andre-agassi-yevgeny-kafelnikov,0.254,0.185,unmatched_target_round_candidate,"""Magnus Norman"" ""Nicolas Kiefer"" 2000 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,LuButDNCKcM,https://www.youtube.com/watch?v=LuButDNCKcM,Rainer Schüttler vs Lleyton Hewitt - Davis Cup (2000) QF - AUS vs GER,Doctor Bopp's Tennis-Videoarchive,UCqKOgGwonAfzkQewR5FK6lg,7799,2000,QF,australian-open-2000-women-qf-arantxa-sanchez-vicario-martina-hingis,0.354,0.246,unmatched_target_round_candidate,"""David Nalbandian"" ""Rainer Schuettler"" 2003 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,R8qV9YRDlm0,https://www.youtube.com/watch?v=R8qV9YRDlm0,🇨🇵Clément vs 🇭🇲Rafter (Lyon 2000) final,Voo de Mar,UC8dPUIaVEAqwsOPPk6hJVtQ,5722,2000,F,australian-open-2000-women-f-lindsay-davenport-martina-hingis,0.306,0.278,unmatched_target_round_candidate,"""Dominik Hrbaty"" ""Patrick Rafter"" 2001 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,EPqrFeClnao,https://www.youtube.com/watch?v=EPqrFeClnao,Agassi vs Clement - Australian Open 2001 Final Full Match,Pavel 4,UCWEiF-XLA6uXqwUlI43jdQA,6400,2001,F,australian-open-2001-men-f-andre-agassi-arnaud-clement,0.583,0.500,unmatched_target_round_candidate,"""Andre Agassi"" ""Arnaud Clement"" 2001 Australian Open final full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,CYqniGmzn60,https://www.youtube.com/watch?v=CYqniGmzn60,Australian Open 2001: Clement - Grosjean (SF) Highlights,C0NUNDRUM1,UC7QDyILaU8jCNpeDadVFQjg,1921,2001,SF,australian-open-2001-men-sf-arnaud-clement-sebastien-grosjean,0.500,0.500,unmatched_target_round_candidate,"""Arnaud Clement"" ""Sebastien Grosjean"" 2001 Australian Open semifinal full match | ""Carlos Moya"" ""Sebastien Grosjean"" 2001 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,0GjHPoida2c,https://www.youtube.com/watch?v=0GjHPoida2c,Australian Open Mixed Doubles Final 2001,Jenny Walls Robb,UCbKpHn8eGTyG-cduWS8robg,28,2001,F,australian-open-2001-men-f-andre-agassi-arnaud-clement,0.000,0.000,unmatched_target_round_candidate,"""Daja Bedanova"" ""Martina Hingis"" 2001 US Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,z9zUZu_cDRI,https://www.youtube.com/watch?v=z9zUZu_cDRI,Clement vs Agassi Australian Open final 2001,VoltagePurple,UC2-qrcqBvcWSj9flcXzsPnQ,4085,2001,F,australian-open-2001-men-f-andre-agassi-arnaud-clement,0.583,0.500,unmatched_target_round_candidate,"""Andre Agassi"" ""Arnaud Clement"" 2001 Australian Open final full match",,2026-09-22T16:07:53+00:00
